aliment,zinc,phosphorus
Durum wheat pre-cooked. whole grain. cooked. unsalted,0.1209068010075566,0.1937842778793418
Asian noodles. plain. cooked. unsalted,0.0478589420654911,0.0603290676416819
Rice. brown. cooked. unsalted,0.1561712846347607,0.2010968921389396
Rice. cooked. unsalted,0.0654911838790932,0.0457038391224862
Rice. parboiled. cooked. unsalted,0.0251889168765743,0.0457038391224862
Rice. red. cooked. unsalted,0.2518891687657431,0.2669104204753199
Wild rice. cooked. unsalted,0.3375314861460957,0.1316270566727605
Pearled barley. boiled/cooked in water. unsalted,0.2065491183879093,0.0804387568555758
Millet. cooked. unsalted,0.2292191435768262,0.1645338208409506
Quinoa. boiled/cooked in water. unsalted,0.27455919395466,0.2595978062157221
Polenta or maize semolina. cooked. unsalted,0.0302267002518891,0.0182815356489945
Couscous (durum wheat semolina pre-cooked with steam). cooked. unsalted,0.2267002518891687,0.149908592321755
Wheat bulgur. cooked. unsalted,0.6246851385390428,0.0548446069469835
Dried pasta. cooked. unsalted,0.1183879093198992,0.0895795246800731
Fresh egg pasta. cooked. unsalted,0.2518891687657431,0.1425959780621572
Dried egg pasta. cooked. unsalted,0.1335012594458438,0.1060329067641682
Dried pasta. gluten-free. cooked. unsalted,0.1158690176322418,0.0950639853747714
Dried pasta. wholemeal. cooked. unsalted,0.2493702770780856,0.1828153564899451
Rice noodle. cooked. unsalted,0.0377833753148614,0.0054844606946983
Soy noodle. cooked. unsalted,0.2518891687657431,0.0
Gnocchi. from potato. cooked,0.1259445843828715,0.053016453382084
Frik (crushed immature durum wheat). cooked. unsalted,0.2518891687657431,0.0822669104204753
Spelt. raw,0.8261964735516373,0.7148080438756856
Khorasan wheat,0.9269521410579346,0.6471663619744059
Wheat. whole. raw,0.6549118387909321,0.5374771480804388
Wheat sprouted. raw,0.415617128463476,0.3473491773308957
Durum wheat. whole. raw,0.8765743073047859,0.6946983546617916
Wheat. whole. pre-cooked. raw,0.0,0.4021937842778793
Rice. raw,0.3551637279596977,0.1974405850091407
Rice. parboiled. raw,0.3425692695214106,0.2778793418647166
Rice. brown. raw,0.5037783375314862,0.279707495429616
Wild rice. raw,0.9319899244332496,0.5612431444241317
Rice. red. raw,0.5289672544080605,0.6617915904936015
Corn or maize grain. raw,0.4785894206549118,0.4570383912248628
Oat. raw,1.0,0.9378427787934188
Barley. whole. raw,0.6977329974811083,0.4643510054844607
Pearled barley. raw,0.5365239294710328,0.3857404021937842
Millet. whole,0.6397984886649875,0.4625228519195612
Quinoa. raw,0.7808564231738035,0.8171846435100548
Amaranth. raw,0.7229219143576826,1.0
Sorghum. whole. raw,0.4206549118387909,0.510054844606947
Buckwheat. whole. raw,0.6045340050377833,0.643510054844607
Rye. whole. raw,0.7002518891687657,0.6142595978062158
Durum wheat semolina. raw,0.54911838790932,0.1681901279707495
Polenta or Maize/corn semolina. pre-cooked. dried,0.2518891687657431,0.1718464351005484
Couscous (durum wheat semolina pre-cooked with steam). raw,0.2090680100755667,0.2925045703839122
Wheat bulgur. raw,0.5969773299748111,0.5027422303473492
Dried pasta. raw,0.3299748110831234,0.2833638025594149
Dried egg pasta. raw,0.4836272040302267,0.4223034734917733
Dried pasta. wholemeal. raw,0.4785894206549118,0.2742230347349177
Rice noodle. dried,0.327455919395466,0.0914076782449725
Soy vermicelli or soy noodle. dried,0.2518891687657431,0.0548446069469835
Frik (crushed immature durum wheat). raw,0.9068010075566753,0.5685557586837294
